rank_descending,figure_label,igo_acronym,functional_alignment_score,functional_orientation,canonical_institution,plot_side,score_source
15,ILO,ILO,2.92,Technical-rule dominant,International Labour Organization (ILO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
16,ITU,ITU,2.92,Technical-rule dominant,International Telecommunication Union (ITU),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
17,FAO,FAO,2.78,Technical-rule dominant,Food and Agriculture Organization of the United Nations (FAO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
18,UNFPA,UNFPA,2.67,Technical-rule dominant,UN Population Fund (UNFPA),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
19,UNCTAD,UNCTAD,2.5,Technical-rule dominant,United Nations Conference on Trade and Development (UNCTAD),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
20,CITES,CITES,2.33,Technical-rule dominant,Secretariat of the Convention on International Trade in Endangered Species of Wild Fauna and Flora (CITES),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
21,Ramsar,Ramsar,2.29,Technical-rule dominant,Ramsar Convention on Wetlands Secretariat (Ramsar),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
22,UN DOALOS,UN DOALOS,2.22,Technical-rule dominant,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
23,OECD,OECD,1.94,Technical-rule dominant,Organisation for Economic Co-operation and Development (OECD),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
24,UNIDO,UNIDO,1.67,Technical-rule dominant,"United Nations Industrial Development Organization (UNIDO),",technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
25,CMS,CMS,1.67,Technical-rule dominant,Secretariat of the Convention on Migratory Species (CMS),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
26,UNICEF,UNICEF,1.53,Technical-rule dominant,United Nations Children’s Fund (UNICEF),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
27,IMO,IMO,1.5,Technical-rule dominant,Convention on the Intergovernmental Maritime Consultative Organization (IMO) Secretariat,technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
28,UNGC,UNGC,1.17,Technical-rule dominant,UN Global Compact Office,technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
29,WMO,WMO,0.83,Balanced,World Meteorological Organization (WMO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
30,ICES,ICES,0.83,Balanced,International Council for the Exploration of the Sea (ICES),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
31,IOM,IOM,0.67,Balanced,International Organization for Migration (IOM),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
32,IHO,IHO,0.56,Balanced,International Hydrographic Organization (IHO),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
33,CBD,CBD,0.42,Balanced,Secretariat of the Convention on Biological Diversity (CBD),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
34,WBG,WBG,0.42,Balanced,World Bank Group (WBG),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
35,UNDP,UNDP,0.33,Balanced,United Nations Development Programme (UNDP),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
36,UN-Women,UN Women,0.28,Balanced,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
37,UNOOSA,UNOOSA,0.28,Balanced,United Nations Office for Outer Space Affairs (UNOOSA),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
38,IFAD,IFAD,0.28,Balanced,International Fund for Agricultural Development (IFAD),technical_rule_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
39,ITC,ITC,-0.17,Balanced,International Trade Centre (ITC),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
40,Minamata,Minamata,-0.5,Balanced,Minamata Convention on Mercury (Minamata),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
41,UNEP,UNEP,-1.17,Guardrail dominant,United Nations Environment Programme (UNEP),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
42,UNHCR/OHCHR,UNHCR/OHCHR,-1.39,Guardrail dominant,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
43,UNCCD,UNCCD,-1.46,Guardrail dominant,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
44,IPBES,IPBES,-1.67,Guardrail dominant,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
45,WIPO,WIPO,-1.67,Guardrail dominant,World Intellectual Property Organisation (WIPO),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
46,UNRISD,UNRISD,-1.67,Guardrail dominant,UN Research Institute for Social Development (UNRISD),guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
47,BRS,BRS,-2.22,Guardrail dominant,"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)",guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
48,IPCC,IPCC,-3.96,Guardrail dominant,IPCC,guardrail_side,Archived full 48-case functional-orientation score series used in the Chapter 5 analysis; cross-checked against the class-count and selected-score outputs.
