log_id,timestamp_iso,coder_id,run_id,dictionary_version,tagset_version,export_version,igo,attribute_code_before,indicator_id_before,attribute_code_after,indicator_id_after,evidence_tier,doc_family_inferred,source_type,source_scope,article_section_page,source_uri,trigger_term,coder_action,retained_in_longfile,decision_rationale,review_note,trace_key,retrieval_set,attribute_code_final,coder_action_std,tfidf_cosine,retrieval_method,source_title_char_count,source_title_word_count,source_title_sha256,source_excerpt_char_count,source_excerpt_word_count,source_excerpt_sha256,public_text_fields_included,public_release_note
AT-P2-0000017,2024-11-02T19:39:57Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),DO,—,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,Convention,—,Article s,https://www.un.org/depts/los/convention_agreements/texts/unclos/unclos_e.pdf,mandate,Re-tag,Yes,Machine-surfaced excerpt required re-assignment after contextual reading; coding placed under the attribute that matches the indicator definition (Table XX) and matrix narrative.,Re-tagged from DO/SJ candidate set: excerpt provides legal basis/article authority enabling jurisdiction; retained under SoJ.,1a0eb7326bfb05df551bb65b1b5bdae944cc2e5a,attributes,SoJ,RETAG,0.01671732598245181,regex + TF-IDF cosine (ranking),146,24,2c7782ea2ad6d936fe48cac1768c82473b53588abdafdb0bbe2565318b9788da,476,46,fd5b25f773e50b404e068b62982ede0e5369eecaeafb4a8d9d79540f8b74e8ee,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000018,2024-11-02T23:59:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Definition/Identification,Other/unclear,Unspecified (see source_title/source_uri),—,—,—,territorial sea,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,5c0a11bf72a176f985ed79c61bc17f158190c8c3,attributes,SJ,ACCEPT,0.5159752403933976,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,124,16,aff78fd572c7c0e7902b967fa0969a8c71c0d9356c53907a14abb09ce2ba6337,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000019,2024-11-03T00:00:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Explanation/Elaboration,Other/unclear,Unspecified (see source_title/source_uri),—,—,—,territorial sea,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,25222676d1d8a0302f055fdd5cfdc9bde5498849,attributes,SJ,ACCEPT,0.04275625000920083,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,261,35,7f97cc2b9aaa2b2acf23a653383a0af66aaa9c84481f722ac6c7625e61bc8f06,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000020,2024-11-03T00:01:36Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SJ,IND_SJ_SCOPE,SJ,IND_SJ_SCOPE,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://www.ioc.unesco.org/en).,territorial sea,Accept,Yes,Relevant to indicator; retained after contextual read-through.,External portal evidence: SJ coded from explicit EEZ/territorial language (Not specified (see narrative/citations in cell text)); retained for spatial scope.,5ff2d0b59ec5ab5b285984f073d9f4a352d5e60d,attributes,SJ,ACCEPT,0.04275625000920083,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,261,35,7f97cc2b9aaa2b2acf23a653383a0af66aaa9c84481f722ac6c7625e61bc8f06,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000021,2024-11-03T00:37:05Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,Convention,—,Article s,https://documents.un.org/doc/undoc/gen/n17/421/90/pdf/n1742190.pdf?token=kneHbLVHaUpcHqGOQg&fe=trueby,mandate,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,Founding instrument evidence: legal basis clause captured (Article s); coded as SoJ with citation anchor where available.,fe9673a574ba5701a67fd1037526490e36f7b1e5,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking),146,24,2c7782ea2ad6d936fe48cac1768c82473b53588abdafdb0bbe2565318b9788da,461,49,0c91b0dc885b3de36121898cc6af4c46d6f6ba92fb037229ce440c02cbbdaa76,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000022,2024-11-03T10:31:21Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),DO,IND_DO_OBJECTIVES,DO,IND_DO_OBJECTIVES,Substantiation/References,Foundational legal instrument,Statute/Charter,—,Article s,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf,objective,Accept,Yes,Meets indicator definition; provenance captured for reconstruction.,Founding instrument evidence: goal language located (Article s); retained for DO with provenance.,442c74fce8501542ffa748f38a03e11f23e34c9d,attributes,DO,ACCEPT,0.01724244578822154,regex + TF-IDF cosine (ranking),125,19,ef7e67dbec419ad55c7b93b54433b3858a598ed3ac9b31199da70b4a9a4fdcb6,350,50,c8e7c32e1f96ac94d5ff0bd170745e0b24006c8d3637ce80e2b97432c97daad0,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000023,2024-11-03T19:30:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Definition/Identification,Other/unclear,Unspecified (see source_title/source_uri),—,—,—,climate,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,2ade465db95efa5f2eddc5943954a26a3a3d75fa,attributes,SMJ,ACCEPT,0.33355693409956827,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,125,15,2e08cd6a4893416c71bd8f3b10ad8aaf52d01fa7a00e1e3d6f5d45a76a55a7bf,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000024,2024-11-03T19:31:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Explanation/Elaboration,Other/unclear,Unspecified (see source_title/source_uri),—,—,—,climate,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,bdca3cedbb870e38b4bea2ebdca885a723dfe2dd,attributes,SMJ,ACCEPT,0.09156059223865178,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,408,50,faa82d7673f55d2995e617be7b7c63180c259299d008a597ef06ba01e365c9fc,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000025,2024-11-03T19:32:25Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SMJ,IND_SMJ_DOMAIN,SMJ,IND_SMJ_DOMAIN,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://www.ioc.unesco.org/en).,climate,Accept,Yes,Relevant to indicator; retained after contextual read-through.,External portal evidence: SMJ coded as issue-domain descriptor (marine/ocean (general)) (Not specified (see narrative/citations in cell text)); separated from governance constructs.,f5df9d72495bbf3ff8c13f7ea380aa0d85aea059,attributes,SMJ,ACCEPT,0.09156059223865178,regex + TF-IDF cosine (ranking),4,1,84e5f4c80e86ba32d715479c03633b6a9df383ac7592519ed689a5057732db9c,408,50,faa82d7673f55d2995e617be7b7c63180c259299d008a597ef06ba01e365c9fc,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000026,2024-11-03T20:25:38Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000381388.locale=en,strategic plan,Accept,Yes,Checked for construct fit; retained with source pointer.,"External portal evidence: strategy/implementation language captured (Not specified (see narrative/citations in cell text)); retained under STR, tagged 'mixed strategy references'.",0bd9c656e15b6fb0de936ab3d36911fb82dff119,attributes,STR,ACCEPT,0.019936090768097936,regex + TF-IDF cosine (ranking),22,1,8db1d6bb9554aafd2db0e96aff17bf71709483b7cbfea9ee6866ad90cd88ee7b,391,50,4a38fdcfcbcbf98964b69b6a931517b46e5c39fb207011c8f73bb27a31c21a26,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000027,2024-11-04T01:22:46Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000377082,strategic plan,Accept,Yes,Checked for construct fit; retained with source pointer.,External portal evidence: operational instrument referenced (Not specified (see narrative/citations in cell text)); coded as STR (data/knowledge services) for comparable scoring.,2626af06428a06b5a954dedbf1fe97cc0d15c493,attributes,STR,ACCEPT,0.0,regex + TF-IDF cosine (ranking),22,1,8db1d6bb9554aafd2db0e96aff17bf71709483b7cbfea9ee6866ad90cd88ee7b,393,50,a85fff126fd1a904a641b070c0b66bb3e044f9660afa1f3e99511efa323edda9,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000028,2024-11-04T06:19:54Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000375020,strategic plan,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,External portal evidence: operational instrument referenced (Not specified (see narrative/citations in cell text)); coded as STR (mixed strategy references) for comparable scoring.,8bb447d40f60f2cb6b9cdeaf09c1aa5764a08956,attributes,STR,ACCEPT,0.0,regex + TF-IDF cosine (ranking),22,1,8db1d6bb9554aafd2db0e96aff17bf71709483b7cbfea9ee6866ad90cd88ee7b,378,50,d3a6100d4651ee849c28d433d1562ec1af0ba5cbad4125c16198e3dfd183b213,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000029,2024-11-04T11:17:02Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),STR,IND_STR_INSTRUMENTS,STR,IND_STR_INSTRUMENTS,Substantiation/References,Other/unclear,Unspecified (see source_title/source_uri),—,Not specified (see narrative/citations in cell text),https://unesdoc.unesco.org/ark:/48223/pf0000381488,strategic plan,Accept,Yes,Accepted as best available evidence within tiered source hierarchy.,External portal evidence: strategy instrument evidence captured (Not specified (see narrative/citations in cell text)); classified to 'mixed strategy references' family for STR.,bcd59d2935cc8ac763abeac95611ca9093cba947,attributes,STR,ACCEPT,0.019415904885556882,regex + TF-IDF cosine (ranking),22,1,8db1d6bb9554aafd2db0e96aff17bf71709483b7cbfea9ee6866ad90cd88ee7b,397,50,39f260e601624b745f829d0f2580e6474f45e898f358877c15c2ee5b766006fc,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000030,2024-11-04T15:01:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Definition/Identification,Foundational legal instrument,Statute/Charter,—,—,—,mandate,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,fb86584bf111bed5eb0d1f68a8a8af67090d5695,attributes,SoJ,ACCEPT,0.1882383021346278,regex + TF-IDF cosine (ranking),168,20,062005e4e4d50d52988ffdc9ab67acc8ee9b737d7aeeed33c810c38f773775dd,127,14,2939a85c1d1c64734e4346725ad6b7726f0f0cf89932d3cf852296c8277d74d7,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000031,2024-11-04T15:02:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Explanation/Elaboration,Foundational legal instrument,Statute/Charter,—,—,—,mandate,Accept,Yes,Narrative explanation recorded to express how the attribute manifests in the IGO using standardised wording tied to the cited substantiation excerpts.,Explanation/Elaboration text corresponds to the final matrix cell narrative; substantiation lines are recorded in linked excerpt rows under the same IGO × attribute.,f6fc719fda8cbfb20daae0ea9fc2ab0941538303,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking),168,20,062005e4e4d50d52988ffdc9ab67acc8ee9b737d7aeeed33c810c38f773775dd,461,49,0c91b0dc885b3de36121898cc6af4c46d6f6ba92fb037229ce440c02cbbdaa76,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000032,2024-11-04T15:03:13Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),SoJ,IND_SOJ_LEGAL,SoJ,IND_SOJ_LEGAL,Substantiation/References,Foundational legal instrument,Statute/Charter,—,Articles,https://treaties.un.org/doc/Publication/UNTS/Volume%204/volume-4-I-52-English.pdf),mandate,Accept,Yes,Checked for construct fit; retained with source pointer.,Founding instrument evidence: legal basis clause captured (Articles); coded as SoJ with citation anchor where available.,175c822fcc8fcf539559deaef68b74b8159d64eb,attributes,SoJ,ACCEPT,0.0,regex + TF-IDF cosine (ranking),168,20,062005e4e4d50d52988ffdc9ab67acc8ee9b737d7aeeed33c810c38f773775dd,461,49,0c91b0dc885b3de36121898cc6af4c46d6f6ba92fb037229ce440c02cbbdaa76,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
AT-P2-0000033,2024-11-04T21:09:19Z,IA,2024-11_partII_igo_coding_v1,dict_v1.2,attr_v1.0,audit_partII_v2,Intergovernmental Oceanographic Commission (IOC),IIR,IND_IIR_RELATIONS,IIR,IND_IIR_RELATIONS,Definition/Identification,Foundational legal instrument,Statute/Charter,—,—,—,MoU,Accept,Yes,Attribute definition stored at node to standardise interpretation and prevent construct drift across IGOs.,Definition note recorded in the codebook to anchor retrieval and coding to the theory-informed construct (see Table XX).,196af4f2ac20c5442e5648ac9a741a14c71ddb24,attributes,IIR,ACCEPT,0.28103076514017183,regex + TF-IDF cosine (ranking),27,2,f17fcb475a165822bf9e07db91de7cdc50dcd80dca819fd7526782d1c59ecf1d,152,16,ecee9cb10f58f90325aae1d12fa2697b0bb3a7117a9aae37c84146cb6bec87aa,No,"Source-title strings and candidate excerpts withheld; coding decisions, locators, URLs, trigger terms, and cryptographic hashes retained."
