Reconciled_Record_ID,Authors,Title,Publication,Volume,Number,Pages,Year,Publisher,Candidate_Sheet_Position,Screened_Sheet_Position,Present_in_1_Literature,Present_in_Screened_Literature,Eligibility_Status,Record_Level_Exclusion_Reason,Reconciliation_Note
FTA011,"Abbott, Kenneth W; Snidal, Duncan; ",International regulation without international government: Improving IO performance through orchestration,The Review of International Organizations,5,,315-344,2010,Springer,11,9,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA012,"Conca, Ken; ",An unfinished foundation: The United Nations and global environmental governance,,,,,2015,"Oxford University Press, USA",12,10,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA013,"Scott, Karen N; ",International environmental governance: Managing fragmentation through institutional connection,Melb. J. Int'l L.,12,,177,2011,HeinOnline,13,11,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA014,"Biermann, Frank; Davies, Olwen; Van Der Grijp, Nicolien; ",Environmental policy integration and the architecture of global environmental governance,"International environmental agreements: politics, law and economics",9,,351-369,2009,Springer,14,12,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA015,"Grip, Kjell; ",International marine environmental governance: A review,Ambio,46,4,413-427,2017,Springer,15,13,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA016,"Federo, Ryan; Saz‐Carranza, Angel; ",A typology of board design for highly effective monitoring in intergovernmental organizations under the United Nations system,Regulation & Governance,14,2,344-361,2020,Wiley Online Library,16,14,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA017,"Martens, Kerstin; ",Institutionalizing societal activism within global governance structures: Amnesty International and the United Nations system,Journal of international relations and development,9,,371-395,2006,Springer,17,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA018,"Ertürk, Eşref; ","INTERGOVERNMENTAL ORGANIZATIONS (IGOS) AND THEIR ROLES AND ACTIVITIES IN SECURITY, ECONOMY, HEALTH, AND ENVIRONMENT.",Journal of International Social Research,8,37,,2015,,18,15,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA019,"Ivanova, Maria; ",UNEP as anchor organization for the global environment,International organizations in global environmental governance,,,165-187,2009,Routledge,19,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA020,"Young, Oran R; ",Global environmental change and international governance,Millennium,19,3,337-346,1990,"Sage Publications Sage UK: London, England",20,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA021,"Ivanova, Maria; ",Environment: the path of global environmental governance–form and function in historical perspective,Governance for sustainable development,,,45-72,2013,Routledge,21,16,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA022,"Biermann, Frank; Bauer, Steffen; ",Assessing the effectiveness of intergovernmental organisations in international environmental politics,Global Environmental Change,14,2,189-193,2004,Pergamon,22,17,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA023,"Dellmuth, Lisa Maria; Gustafsson, Maria-Therese; ",Global adaptation governance: how intergovernmental organizations mainstream climate change adaptation,Climate Policy,21,7,868-883,2021,Taylor & Francis,23,18,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA024,"Reinicke, Wolfgang H; Deng, Francis Mading; Witte, Jan Martin; ","Critical choices: The United Nations, networks, and the future of global governance",,,,,2000,Idrc,24,19,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA025,"Abbott, Kenneth W; Green, Jessica F; Keohane, Robert O; ",Organizational ecology and institutional change in global governance,International Organization,70,2,247-277,2016,Cambridge University Press,25,20,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA026,"Abbott, Kenneth W; ",Engaging the public and the private in global sustainability governance,International Affairs,88,3,543-564,2012,Oxford University Press,26,21,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA027,"Najam, Adil; Christopoulou, Ioli; Moomaw, William R; ",The emergent “system” of global environmental governance,Global Environmental Politics,4,4,23-35,2004,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …",27,22,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA028,"DeSombre, Elizabeth R; ",Global environmental institutions,,,,,2010,Routledge,28,23,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA029,"Bauer, Steffen; Busch, Per-Olof; Siebenhüner, Bernd; ",Treaty secretariats in global environmental governance,International organizations in global environmental governance,,,188-206,2009,Routledge,29,24,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA030,"Biermann, Frank; Bauer, Steffen; ",A world environment organization: Solution or threat for effective international environmental governance?,,,,,2017,Routledge,30,25,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA031,"Johnson, Tana; ",Organizational progeny: Why governments are losing control over the proliferating structures of global governance,,,,,2014,Transformations in Governance,31,26,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA032,"Karns, Margaret P; Mingst, Karen A; Stiles, Kendall W; ",International Organizations: The Politics and Processes,Lynne Riener,,,,2015,,32,27,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA033,"Ivanova, Maria; Gordon, David; Roy, Jennifer; ",Towards institutional symbiosis: business and the United Nations in environmental governance,Review of European Community & International Environmental Law,16,2,123-134,2007,Wiley Online Library,33,28,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA034,"Mingst, Karen A; Karns, Margaret P; Lyon, Alynna J; ",The United Nations in the 21st century,,,,,2022,Routledge,34,29,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA035,"Untawale, Mukund G; ",Global environmental degradation and international organizations,International Political Science Review,11,3,371-383,1990,"Sage Publications Sage CA: Thousand Oaks, CA",35,30,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA036,"Tarasofsky, Richard; ",International environmental governance: Strengthening UNEP,,,,,2002,UCN/IAS,36,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA037,"Lee, Kelley; Humphreys, David; Pugh, Michael; ",“Privatisation'’in the United Nations system: Patterns of influence in three intergovernmental organisations,Global Society: Journal of Interdisciplinary International Relations,11,3,339-357,1997,Taylor & Francis,37,31,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA038,"Rolén, Mats; Sjöberg, Helen; Svedin, Uno; ",International Governance on Environmental Issues,,9,,,2013,Springer Science & Business Media,38,32,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA039,"Hickmann, Thomas; Elsässer, Joshua Philipp; ",New alliances in global environmental governance: How intergovernmental treaty secretariats interact with non-state actors to address transboundary environmental problems,"International Environmental Agreements: Politics, Law and Economics",20,,459-481,2020,Springer,39,33,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA040,"Desai, Bharat H; ",The Quest for a United Nations Specialised Agency for the Environment,The Round Table,101,2,167-179,2012,Taylor & Francis,40,35,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA041,"Pease, Kelly-Kate S; ",International organizations: perspectives on global governance,,,,,2018,Routledge,41,36,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA042,"Cronin, Bruce; ",The two faces of the United Nations: The tension between intergovernmentalism and transnationalism,Global Governance,8,,53,2002,HeinOnline,42,37,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA043,"Abbott, Kenneth W; Snidal, Duncan; ",Taking responsive regulation transnational: Strategies for international organizations,Regulation & Governance,7,1,95-113,2013,Wiley Online Library,43,38,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA044,"Fortin, Carlos; Jolly, Richard; ",The United Nations and Business: Towards New Modes of Global Governance?,IDS Bulletin,46,3,45-58,2015,Wiley Online Library,44,39,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA045,"Gordenker, Leon; ",Pluralising global governance: analytical approaches and dimensions,Third world quarterly,16,3,357-388,1995,Taylor & Francis,45,40,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA046,"Moore Jr, John Allphin; Pubantz, Jerry; ",The new United Nations: International organization in the twenty-first century,,,,,2022,Routledge,46,41,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA047,"Biermann, Frank; Abbott, Kenneth; Andresen, Steinar; Bäckstrand, Karin; Bernstein, Steven; Betsill, Michele M; Bulkeley, Harriet; Cashore, Benjamin; Clapp, Jennifer; Folke, Carl; ",Transforming governance and institutions for global sustainability: key insights from the Earth System Governance Project,Current Opinion in Environmental Sustainability,4,1,51-60,2012,Elsevier,47,42,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA048,"Ridgeway, Lori; Rice, JC; ",International organizations and fisheries governance,Handbook of Marine Fisheries Conservation and Management,,,485-504,2010,Oxford University Press Oxford,48,43,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA049,"Boer, Ben; ",The globalisation of environmental law: the role of the United Nations,Melb. UL Rev.,20,,101,1995,HeinOnline,49,44,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA050,"Auer, Matthew R; ",Who participates in global environmental governance? Partial answers from international relations theory,Policy Sciences,33,2,155-180,2000,Springer,50,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA051,"Ocampo, José Antonio; Gómez‐Arteaga, Natalie; ",Accountability in international governance and the 2030 development agenda,Global Policy,7,3,305-314,2016,Wiley Online Library,51,45,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA052,"Jordan, Robert S; ",International organizations: A comparative approach to the management of cooperation,,3,,,2001,Greenwood Publishing Group,52,46,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA053,"Horn, Laura; ",Human rights and international environmental governance,Transnational Governance,,,151-178,2016,Routledge,53,47,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA054,"Van der Heijden, Hein-Anton; ","Globalization, environmental movements, and international political opportunity structures",Organization & Environment,19,1,28-45,2006,"Sage Publications Sage CA: Thousand Oaks, CA",54,48,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA055,"Hickmann, Thomas; Widerberg, Oscar; Lederer, Markus; Pattberg, Philipp; ",The United Nations Framework Convention on Climate Change Secretariat as an orchestrator in global climate policymaking,International Review of Administrative Sciences,87,1,21-38,2021,"SAGE Publications Sage UK: London, England",55,49,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA056,"Haas, Peter M; ",Social constructivism and the evolution of multilateral environmental governance,Globalization and governance,,,103-133,2003,Routledge,56,50,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA057,"Biedenkopf, Katja; ",Relations between international organisations in combating climate change,Palgrave handbook of inter-organizational relations in world politics,,,649-676,2017,Springer,57,51,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA058,"Abbott, Kenneth W; Genschel, Philipp; Snidal, Duncan; Zangl, Bernhard; ",Orchestration: Global governance through intermediaries,The Spectrum of International Institutions,,,140-170,2021,Routledge,58,52,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA059,"Park, Susan; Kramarz, Teresa; ",Global environmental governance and the accountability trap,,,,,2019,MIT Press,59,53,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA060,"Reinsberg, Bernhard; Westerwinter, Oliver; ",The global governance of international development: Documenting the rise of multi-stakeholder partnerships and identifying underlying theoretical explanations,The Review of International Organizations,16,,59-94,2021,Springer,60,54,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA061,"Abbott, Kenneth W; Snidal, Duncan; ",Why states act through formal international organizations,Journal of conflict resolution,42,1,3-32,1998,"Sage Periodicals Press 2455 Teller Road, Thousand Oaks, CA 91320",61,55,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA062,"Robinson, Nicholas A; ",Befogged vision: International environmental governance a decade after Rio,Wm. & Mary Envtl. L. & Pol'y Rev.,27,,299,2002,HeinOnline,62,56,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA063,"Bauer, Steffen; ",Does bureaucracy really matter? The authority of intergovernmental treaty secretariats in global environmental politics,Global Environmental Politics,6,1,23-49,2006,"MIT Press One Rogers Street, Cambridge, MA 02142-1209, USA journals-info …",63,57,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA064,"Brousseau, Eric; Dedeurwaerdere, Tom; Jouvet, Pierre-André; Willinger, Marc; ",Global environmental commons: Analytical and political challenges in building governance mechanisms,,,,,2012,Oxford University Press,64,58,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA065,"Joachim, Jutta; Reinalda, Bob; Verbeek, Bertjan; ","International organizations and implementation: enforcers, managers, authorities?",,,,,2007,Routledge,65,59,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA066,"Biermann, Frank; ",Global governance and the environment,Palgrave advances in international environmental politics,,,237-261,2006,Springer,66,60,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA067,"Abbott, Kenneth W; Genschel, Philipp; Snidal, Duncan; Zangl, Bernhard; ",International organizations as orchestrators,,,,,2015,Cambridge University Press,67,61,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA068,"Kingsbury, Benedict; Casini, Lorenzo; ",Global administrative law dimensions of international organizations law,International Organizations Law Review,6,2,319-358,2009,Brill Nijhoff,68,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA069,"Jinnah, Sikina; ",Post-treaty politics: Secretariat influence in global environmental governance,,,,,2014,MIT Press,69,62,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA070,"Forman, Shepard; Segaar, Derk; ",New coalitions for global governance: the changing dynamics of multilateralism,Global Governance,12,,205,2006,HeinOnline,70,63,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA071,"Uhre, Andreas Nordang; ",On transnational actor participation in global environmental governance,,,,,2013,"Department of Political Science, Stockholm University",71,64,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA072,"Haas, Peter M; Keohane, Robert Owen; Levy, Marc A; ",Institutions for the earth: sources of effective international environmental protection,,,,,1993,Mit Press,72,65,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA073,"Kapucu, Naim; Beaudet, Sean; ",Network governance for collective action in implementing United Nations sustainable development goals,Administrative Sciences,10,4,100,2020,MDPI,73,66,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA074,"Chidozie, Felix; Oluwatobi, O Aje; ",International organizations and global governance agenda: SDGs as a paragon,Acta Universitatis Danubius. Relationes Internationales,10,1,,2017,,74,67,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA075,"Biermann, Frank; ",Greening the United Nations charter: World politics in the anthropocene,Environment: Science and Policy for Sustainable Development,54,3,6-17,2012,Taylor & Francis,75,68,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA076,"Szasz, Paul C; Weiss, Edith Brown; ",The complexification of the United Nations system,Understanding International Institutions and the Legislative Process,,,123-171,2001,Brill Nijhoff,76,69,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA077,"Bogers, Maya; Biermann, Frank; Kalfagianni, Agni; Kim, Rakhyun E; Treep, Jelle; De Vos, Martine G; ",The impact of the Sustainable Development Goals on a network of 276 international organizations,Global Environmental Change,76,,102567,2022,Elsevier,77,70,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA078,"Dingwerth, Klaus; Witt, Antonia; Lehmann, Ina; Reichel, Ellen; Weise, Tobias; ",International organizations under pressure: Legitimating global governance in challenging times,,,,,2019,Oxford University Press,78,71,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA079,"Bauer, Steffen; Andresen, Steinar; Biermann, Frank; ",International bureaucracies,Global environmental governance reconsidered,,,27-44,2012,"MIT Press Cambridge, MA",79,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA080,"Weiss, Thomas G; Kamran, Annelies Z; ",Global governance as international organization,Palgrave Advances in Global Governance,,,66-86,2009,Springer,80,72,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA081,"Jacobson, Harold K; Weiss, Edith Brown; ",Strengthening compliance with international environmental accords: preliminary observations from Collaborative Project,Global Governance,1,,119,1995,HeinOnline,81,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA082,"Burall, Simon; Neligan, Caroline; ",The accountability of international organizations,GPPi Research Paper,,2,,2005,,82,73,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA083,"Graham, Erin R; ",The institutional design of funding rules at international organizations: Explaining the transformation in financing the United Nations,European Journal of International Relations,23,2,365-390,2017,"SAGE Publications Sage UK: London, England",83,74,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA084,"Ivanova, Maria; ",Moving forward by looking back: Learning from UNEP’s history,Global environmental governance: Perspectives on the current debate,,,26-47,2007,Center for UN Reform Education New York,84,75,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA085,"Ivanova, Maria; ",Assessing UNEP as anchor institution for the global environment: Lessons for the UNEO debate,Yale Center for Environmental Law & Policy Working Paper Series,5,1,,2005,,85,,Yes,No,Excluded,Record-specific exclusion reason not preserved in the surviving Stage 1 workbook.,Present in the candidate export but absent from the final included corpus.
FTA086,"Joyner, Christopher C; ",Rethinking international environmental regimes: what role for partnership coalitions,J. Int'l L & Int'l Rel.,1,,89,2004,HeinOnline,86,76,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA087,"Alkoby, Asher; ",Global networks and international environmental lawmaking: A discourse approach,Chi. J. Int'l L.,8,,377,2007,HeinOnline,87,77,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA088,"Knight, W; ",A changing United Nations: Multilateral evolution and the quest for global governance,,,,,2000,Springer,88,78,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA089,"Churchill, Robin R; Ulfstein, Geir; ",Autonomous institutional arrangements in multilateral environmental agreements: a little-noticed phenomenon in international law,American Journal of International Law,94,4,623-659,2000,Cambridge University Press,89,79,Yes,Yes,Included,,Present in both surviving Stage 1 sheets.
FTA090,"Pattberg, Philipp; Widerberg, Oscar; ",Theorising global environmental governance: Key findings and future questions,Millennium,43,2,684-705,2015,"Sage Publications Sage UK: London, England",,34,No,Yes,Included,,Present in the final screened sheet but omitted from the surviving candidate export; added to the reconciled 90-record union.
