doc_id,igo_id,igo_name,doc_family,doc_type,original_filename,archive_filename,file_ext,file_bytes,sha256,page_count,extraction_method,extraction_quality_flag,pages_extracted,paragraphs_extracted,extraction_exceptions,source_url,access_date,source_note,public_file_included,public_release_status,retrieval_note
DOC_0020,IPCC,IPCC,Other / governance instrument,Procedures / principles,IPCC Principles and Procedures.pdf,ch04_doc_0020_ipcc_ipcc_principles_and_procedures.pdf,.pdf,48792,4245dcfd7c5bca0a22d085b0523170d7dd76c5397074958a66a6794390cdb35a,12.0,pymupdf,ok,12,106,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0021,UNEP,United Nations Environment Programme (UNEP),Foundational / legal,Resolution / decision,IPCC — Founding WMO:UNEP resolution(s).pdf,ch04_doc_0021_unep_ipcc_founding_wmo_unep_resolution_s.pdf,.pdf,36645,c752fb7508ec4dd2d270cd02c85c8b665ba3dcbb4378eb8f58d0df802c92047f,5.0,pymupdf,ok,5,50,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0022,ITC,International Trade Centre (ITC),Foundational / legal,Agreement,ITC_ GENERAL AGREEMENT TARIFFS AND TRADE.pdf,ch04_doc_0022_itc_itc_general_agreement_tariffs_and_trade.pdf,.pdf,1484913,639e850528c67bde03c195435fb9c8f144c24b76b269f8140af315e2facad0b5,15.0,pymupdf,ok,15,15,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0023,MINAMATA,Minamata Convention on Mercury (Minamata),Foundational / legal,Convention / treaty,Minamata-Convention-booklet-Sep2019-EN.pdf,ch04_doc_0023_minamata_minamata_convention_booklet_sep2019_en.pdf,.pdf,599032,d3583c7f8e3ec99219b491ba91f18fecf49d32971aaefc73277ce4f9d6ddb49a,72.0,pymupdf,low_text,72,64,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0024,OECD,Organisation for Economic Co-operation and Development (OECD),Foundational / legal,Convention / treaty,OECD Convention.pdf,ch04_doc_0024_oecd_oecd_convention.pdf,.pdf,200947,1eec4fa9ebb1c2bf6f9226456858cfef390a87be1faafb531ed1decba3acff96,14.0,pymupdf,ok,14,14,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0025,IPBES,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),Other / governance instrument,Procedures / principles,Operating PRincinples of IPBES.pdf,ch04_doc_0025_ipbes_operating_princinples_of_ipbes.pdf,.pdf,183843,bb2821719f8cf63add22aaa8863a0036fbdd2d7aa05fb3805862ab0ea9459c18,7.0,pymupdf,ok,7,22,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0026,RAMSAR,Ramsar Convention on Wetlands Secretariat (Ramsar),Foundational / legal,Convention / treaty,Ramsar COnvention.pdf,ch04_doc_0026_ramsar_ramsar_convention.pdf,.pdf,2685932,43235038efc11376f32b8b3c12e1e9a71dab8948362f2498f933ca3f957402fd,116.0,pymupdf,ok,116,114,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0027,UNCTAD,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Rules / regulations,Rules of procedure_UNCTAD.pdf,ch04_doc_0027_unctad_rules_of_procedure_unctad.pdf,.pdf,926157,d927fdae526da0fb44ff1dd3726092d5935b54d51cc562f8e378825991126d90,135.0,pymupdf,ok,135,391,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0028,UNHCR_OHCHR,"Commissioner for Refugees (UNHCR), and the Office of the United Nations High Commissioner for Human Rights (OHCHR)",Foundational / legal,Statute,Statute of the Office of the UN High Commissioner for Refugees.pdf,ch04_doc_0028_unhcr_ohchr_statute_of_the_office_of_the_un_high_commissioner_for_r.pdf,.pdf,84869,cb65d5e997dbcb731fa940802ebef29d2a08aacfd510dcdb0ba2c13384af79d0,16.0,pymupdf,ok,16,14,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0029,UN_DOALOS,Division for Ocean Affairs and the Law of the Sea (UN DOALOS),Other / governance instrument,Document,UN DAOLOS.pdf,ch04_doc_0029_un_doalos_un_daolos.pdf,.pdf,258652,6ea7b3eb6c6d1a16eac350d840856936428243213e976ca54c82afadf10eb4ac,9.0,pymupdf,ok,9,96,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0030,UNICEF,United Nations Children’s Fund (UNICEF),Foundational / legal,Resolution / decision,UN General Assembly resolution creating UNICEF.pdf,ch04_doc_0030_unicef_un_general_assembly_resolution_creating_unicef.pdf,.pdf,375119,cf59404d9f7f0afdcfbc6dd88b72a2beeabb5659028a301ce29becd0fbb1e8ca,6.0,pymupdf,ok,6,6,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0031,UNGC,UN Global Compact Office,Other / governance instrument,Document,UN Global Compact.pdf,ch04_doc_0031_ungc_un_global_compact.pdf,.pdf,654821,34d0119baee967f3770e56917b132af0c14980bb8eee340b748e322aa7fccc03,40.0,pymupdf,ok,40,260,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0032,UNFPA,UN Population Fund (UNFPA),Foundational / legal,Resolution / decision,UN Population Fund Resolution.pdf,ch04_doc_0032_unfpa_un_population_fund_resolution.pdf,.pdf,241226,8890ec900a9ea325386ec58d0dc0af0ac9037c8b47da3278ec23131fd20cc974,2.0,pymupdf,low_text,2,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0033,UN_WOMEN,UN Entity for Gender Equality and the Empowerment of Women (UN-Women),Foundational / legal,Resolution / decision,UN Women Resolution.pdf,ch04_doc_0033_un_women_un_women_resolution.pdf,.pdf,141404,3acc9f96e4ab500a524b9c462caddcb1aaab8cdd76b5cd2826a278fa04edda9f,14.0,pymupdf,ok,14,134,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0034,UNCCD,Secretariat of the United Nations Convention to Combat Desertification (UNCCD),Foundational / legal,Convention / treaty,UNCCD_Convention_ENG_0_0.pdf,ch04_doc_0034_unccd_unccd_convention_eng_0_0.pdf,.pdf,818293,fb821c383d355e8998485711038d9fdd28599cddfdbe03a0a5205c514ed8969c,56.0,pymupdf,ok,56,64,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0035,UNCTAD,United Nations Conference on Trade and Development (UNCTAD),Foundational / legal,Resolution / decision,UNCTAD Resolution.pdf,ch04_doc_0035_unctad_unctad_resolution.pdf,.pdf,425682,c40ee1852eb11724e980f68de36f0f25804b510d4565ce3f96dff2cda19ccc6d,5.0,pymupdf,ok,5,5,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0036,UNDP,United Nations Development Programme (UNDP),Foundational / legal,Resolution / decision,UNDP — UN General Assembly establishing resolution.pdf,ch04_doc_0036_undp_undp_un_general_assembly_establishing_resolution.pdf,.pdf,262105,488ade8f973c1b4555454c5cae9e3f46e45765f33f7fc97f99d988a45a208d97,2.0,pymupdf,ok,2,2,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0037,UNDRR,United Nations Office for Disaster Risk Reduction (UNDRR),Foundational / legal,Resolution / decision,UNDRR Resolution.pdf,ch04_doc_0037_undrr_undrr_resolution.pdf,.pdf,292269,53e865d0635f6a8ddbfec9bb6a183c2ce9a197db218d5722ddb53a07098102e3,12.0,pymupdf,ok,12,100,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0038,IPBES,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES),Other / governance instrument,Document,UNEP Gov. Council est IPBES.doc,ch04_doc_0038_ipbes_unep_gov_council_est_ipbes.doc,.doc,126464,82525cf9527af3646ac731cd29c318da8baad910c494db868a23c70c4da449fe,,binary,not_pdf,0,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0039,UNEP,United Nations Environment Programme (UNEP),Foundational / legal,Resolution / decision,UNEP Secretriat Resolution.pdf,ch04_doc_0039_unep_unep_secretriat_resolution.pdf,.pdf,489090,a98da312fb9eff038a32eb6fd9918071d168110002d9217d22eeb6b5f11c6323,3.0,pymupdf,ok,3,3,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0040,UNFCCC,Climate Change Secretariat,Other / governance instrument,Document,UNFCCC.pdf,ch04_doc_0040_unfccc_unfccc.pdf,.pdf,52331,acdc17637f54a0fddc524a19a2abf13893120456e619896a5a2b7b82ee727786,33.0,pymupdf,ok,33,34,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0041,UNFCCC,Climate Change Secretariat,Foundational / legal,Resolution / decision,UNGA Resolution on UNFCCC.pdf,ch04_doc_0041_unfccc_unga_resolution_on_unfccc.pdf,.pdf,231060,c5b03d93e510cb6a5ed97e55a9e152435ac3bca35be9585a582125771897fa78,2.0,pymupdf,low_text,2,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0042,UNIDO,United Nations Industrial Development Organization (UNIDO),Foundational / legal,Constitution,UNIDO Constitution.pdf,ch04_doc_0042_unido_unido_constitution.pdf,.pdf,180354,308ab496fa7ce3ba04f8de32443f1d8138db6a53722241cd9f2f262afd4d99f9,36.0,pymupdf,ok,36,37,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0043,UNODC,United Nations Office on Drugs and Crime (UNODC),Other / governance instrument,Document,UNODC — UNGA:ECOSOC mandate document_2.pdf,ch04_doc_0043_unodc_unodc_unga_ecosoc_mandate_document_2.pdf,.pdf,286281,5e6031e3154587aaacd13e9c89370cb048e75342f6aa701355359b1a5392918e,11.0,pymupdf,ok,11,110,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0044,UNOOSA,United Nations Office for Outer Space Affairs (UNOOSA),Other / governance instrument,Document,UNOOSA — UNGA mandate:Secretariat terms.pdf,ch04_doc_0044_unoosa_unoosa_unga_mandate_secretariat_terms.pdf,.pdf,236121,89013194394a17e1729d8a695c4e4ba7b7841911c1851519800caef226247895,2.0,pymupdf,low_text,2,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0045,UNOPS,United Nations Office for Project Services (UNOPS),Foundational / legal,Resolution / decision,UNOPS Resolution.pdf,ch04_doc_0045_unops_unops_resolution.pdf,.pdf,2117015,a552e1a39096425e79c1dfd07d36e41b5f1db9ca4d899b4fe51834d96b711ec5,29.0,pymupdf,low_text,29,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0046,UNRISD,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD Secretariat Bulletin.pdf,ch04_doc_0046_unrisd_unrisd_secretariat_bulletin.pdf,.pdf,289884,2ab02a13aa4da65c27a80c3b4ddbfefab355bb284ffcb592db3aeaa43b04f078,3.0,pymupdf,ok,3,3,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0047,UNRISD,UN Research Institute for Social Development (UNRISD),Other / governance instrument,Document,UNRISD.pdf,ch04_doc_0047_unrisd_unrisd.pdf,.pdf,1114639,3472be7e9040d7b3a867beb68de353c902243d3c82f3042ef08b7a787a6b2801,10.0,pymupdf,low_text,10,0,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0048,UNU,United Nations University (UNU),Foundational / legal,Charter,UNU-Charter-2014.pdf,ch04_doc_0048_unu_unu_charter_2014.pdf,.pdf,57407,d290c459eb0a3aaebbcabdddc5aaea68c4d1efe4ab4031c78cd6d3749836602b,12.0,pymupdf,ok,12,14,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0049,UNWTO,World Tourism Organization/UN Tourism (UNWTO),Foundational / legal,Statute,unwto statute.pdf,ch04_doc_0049_unwto_unwto_statute.pdf,.pdf,138191,b7a373bd70c446f941847d3c64444882c757f82dd624d902395e7eec035ab033,35.0,pymupdf,ok,35,184,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0050,WFP,World Food Programme (WFP),Foundational / legal,Rules / regulations,WFP — General Regulations & Rules  Basic Texts.pdf,ch04_doc_0050_wfp_wfp_general_regulations_and_rules_basic_texts.pdf,.pdf,659687,58299e946e08dedf44fd3d88261c29da866acdf27f0da4ec8833e0f08d74a278,78.0,pymupdf,ok,78,82,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0051,WHO,World Health Organization (WHO),Foundational / legal,Constitution,WHO Constitution.pdf,ch04_doc_0051_who_who_constitution.pdf,.pdf,15212426,521f1c1b69ffc10653eb64ce7565acde6ac9b35e9eebd1d91026588b192c469f,146.0,pymupdf,low_text,146,1,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0052,WIPO,World Intellectual Property Organisation (WIPO),Foundational / legal,Convention / treaty,WIPO Convention.pdf,ch04_doc_0052_wipo_wipo_convention.pdf,.pdf,83418,3276eb3d44bd456794895870ed3cf73030224957ebb1a82d10443f00e3d46771,11.0,pymupdf,ok,11,11,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0053,WMO,World Meteorological Organization (WMO),Other / governance instrument,Document,WMO Basic Document.pdf,ch04_doc_0053_wmo_wmo_basic_document.pdf,.pdf,741297,c628d4e14882cd6c828d40b6d77a2182d3ca693f055b5cf64d1d1c5f93f7e4dd,205.0,pymupdf,ok,205,197,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0054,WBG,World Bank Group (WBG),Foundational / legal,Articles of agreement,World Bank (IBRD) — Articles of Agreement (1944).pdf,ch04_doc_0054_wbg_world_bank_ibrd_articles_of_agreement_1944.pdf,.pdf,233191,9d6ebe927d7b006d941006f7a261b09a4475352d9de12f9367e47ae60717b7ee,22.0,pymupdf,ok,22,285,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0055,WBG,World Bank Group (WBG),Foundational / legal,Agreement,World Bank_IBRDArticlesOfAgreementEnglish.pdf,ch04_doc_0055_wbg_world_bank_ibrdarticlesofagreementenglish.pdf,.pdf,233191,9d6ebe927d7b006d941006f7a261b09a4475352d9de12f9367e47ae60717b7ee,22.0,pymupdf,ok,22,285,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0056,WFP,World Food Programme (WFP),Other / governance instrument,Document,World Food Programme.pdf,ch04_doc_0056_wfp_world_food_programme.pdf,.pdf,417377,5a6b37893ed500f03f21acccfddab7afbba00ec02f751c062f510d0b9e378b29,4.0,pymupdf,ok,4,4,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0057,UNWTO,World Tourism Organization/UN Tourism (UNWTO),Other / governance instrument,Document,World Tourism Organisation.pdf,ch04_doc_0057_unwto_world_tourism_organisation.pdf,.pdf,1435413,1b32cb3e077530743211d68b3299c87aa7898650d3753c79f2e107631d9c5597,84.0,pymupdf,ok,84,104,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
DOC_0058,WTO,World Trade Organization (WTO),Foundational / legal,Agreement,WTO — Marrakesh Agreement Establishing the World Trade Organization (1994).pdf,ch04_doc_0058_wto_wto_marrakesh_agreement_establishing_the_world_trade_or.pdf,.pdf,220379,ff0eeaa8a3bd83f60adb7e7ee567fd750d24e1b27a865af62cc576d875de55fd,42.0,pymupdf,ok,42,55,0,,,,No,withheld_third_party_source_document,"Source URL and access date were not preserved in the supplied archive; locate the document using the issuing organisation, title/filename, document identifier, and SHA-256."
