variable,type,source,description
the_area_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
the_area_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
high_seas_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
high_seas_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
archipelago_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
archipelago_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
enclosed_or_semi_enclosed_sea_within_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
enclosed_or_semi_enclosed_sea_across_igo,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_spatial_jurisdiction,numeric,Spatial_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
environmental_protection_climate_change_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
environmental_protection_climate_change_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
sustainable_development_capacity_building_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
sustainable_development_capacity_building_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
international_cooperation_governance_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
international_cooperation_governance_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
research_science_innovation_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
research_science_innovation_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
biodiversity_ecosystem_conservation_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
biodiversity_ecosystem_conservation_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
trade_investment_economic_cooperation_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
trade_investment_economic_cooperation_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
human_rights_social_justice_advocacy_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
human_rights_social_justice_advocacy_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
security_safety_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
security_safety_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
disaster_risk_reduction_resilience_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
disaster_risk_reduction_resilience_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
cultural_heritage_traditional_knowledge_data_governance_within_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
cultural_heritage_traditional_knowledge_data_governance_across_igo,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_subject_matter,numeric,Subject_Matter_Jurisdiction_FULL_Normalised_REAL REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
foundational_treaties_charters_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
foundational_treaties_charters_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
binding_secondary_law_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
binding_secondary_law_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
delegated_or_derived_powers_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
delegated_or_derived_powers_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
bilateral_or_multilateral_arrangements_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
bilateral_or_multilateral_arrangements_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
customary_or_soft_law_authority_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
customary_or_soft_law_authority_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
technical_norms_and_standards_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
technical_norms_and_standards_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
strategic_frameworks_and_policy_plans_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
strategic_frameworks_and_policy_plans_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
memoranda_of_understanding_mous_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
memoranda_of_understanding_mous_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
financial_mechanisms_or_instruments_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
financial_mechanisms_or_instruments_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
political_mandates_or_resolutions_within_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
political_mandates_or_resolutions_across_igo,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_sources,numeric,Sources_of_Jurisdiction_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
governance_and_planning_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
governance_and_planning_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
financial_stewardship_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
financial_stewardship_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
policy_and_regulation_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
policy_and_regulation_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
environmental_action_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
environmental_action_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
knowledge_and_data_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
knowledge_and_data_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
innovation_and_technology_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
innovation_and_technology_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
inclusion_and_rights_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
inclusion_and_rights_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
partnerships_and_networks_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
partnerships_and_networks_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
operational_delivery_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
operational_delivery_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
monitoring_and_accountability_within_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
monitoring_and_accountability_across_igo,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_defined_objectives,numeric,Defined_Objectives_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
strategic_and_institutional_planning_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
strategic_and_institutional_planning_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
financial_and_budgetary_management_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
financial_and_budgetary_management_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
policy_regulation_legal_frameworks_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
policy_regulation_legal_frameworks_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
environmental_climate_biodiversity_action_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
environmental_climate_biodiversity_action_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
knowledge_research_data_systems_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
knowledge_research_data_systems_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
innovation_technology_development_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
innovation_technology_development_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
inclusion_rights_social_justice_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
inclusion_rights_social_justice_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
capacity_development_operational_delivery_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
capacity_development_operational_delivery_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
collaboration_partnerships_networks_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
collaboration_partnerships_networks_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
monitoring_evaluation_accountability_within_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
monitoring_evaluation_accountability_across_igo,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_strategies,numeric,Strategies_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
un_system_collaboration_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
un_system_collaboration_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
regional_body_coordination_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
regional_body_coordination_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ngo_engagement_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
ngo_engagement_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
private_sector_partnerships_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
private_sector_partnerships_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
scientific_community_linkages_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
scientific_community_linkages_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
treaty_body_coordination_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
treaty_body_coordination_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
donor_partnerships_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
donor_partnerships_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
civil_society_engagement_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
civil_society_engagement_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
intergovernmental_consultations_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
intergovernmental_consultations_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
technical_or_expert_groups_within_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
technical_or_expert_groups_across_igo,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
ordinal_score_relationships,numeric,Defined_InterInstitutional_Relationships_FULL_Normalised_REAL.xlsx (Matrix_Wide),"Reviewed ordinal/breadth score for the attribute family (sum of activated categories, after coder review)."
un_to_member_states_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
un_to_member_states_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
global_regional_national_coordination_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
global_regional_national_coordination_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
intergovernmental_to_national_institutions_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
intergovernmental_to_national_institutions_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
technical_assistance_to_states_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
technical_assistance_to_states_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
policy_alignment_with_national_plans_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
policy_alignment_with_national_plans_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
regional_implementing_partners_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
regional_implementing_partners_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
reporting_compliance_mechanisms_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
reporting_compliance_mechanisms_across_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Across-IGO min–max normalised score (0–10) for this category; captures intensity relative to all IGOs.
multi_level_planning_structures_within_igo,numeric,Vertical_Coordination_FULL_Normalised.xlsx (Matrix_Wide),Within-IGO min–max normalised score (0–10) for this category; captures relative emphasis within the attribute family.
